作品,話数,ツイート数,普段比,トレンド,号数,月曜ツイート数,基準ツイート数,期間,作品名,クエリ,参照,1時間,全体,終了
,,,,,1,,,,ONE PIECE,#今週のワンピ,4.0,822.0,1257.0,2025-12-01 03:45:00
#今週のワンピ,1021.0,1653.0,58%,NO DATA,2021年36・37号,1653.0,0.0,2021年,,,,,,
ヒロアカ本誌,322.0,7406.0,910%,NO DATA,2021年36・37号,7406.0,0.0,2021年,,,,,,
ドクスト,206.0,892.0,109%,NO DATA,2021年36・37号,994.0,102.0,2021年,,,,,,
呪術本誌,154.0,1701.0,103%,NO DATA,2021年36・37号,1701.0,0.0,2021年,,,,,,
夜桜さんちの大作戦,93.0,143.0,170%,NO DATA,2021年36・37号,159.0,16.0,2021年,,,,,,
アンデラ,74.0,1007.0,105%,NO DATA,2021年36・37号,1046.0,39.0,2021年,,,,,,
マッシュル,73.0,630.0,168%,NO DATA,2021年36・37号,704.0,74.0,2021年,,,,,,
あやトラ,55.0,127.0,70%,NO DATA,2021年36・37号,137.0,10.0,2021年,,,,,,
マグちゃん,54.0,534.0,94%,NO DATA,2021年36・37号,626.0,92.0,2021年,,,,,,
ロボコ,52.0,1742.0,436%,NO DATA,2021年36・37号,1769.0,27.0,2021年,,,,,,
高校生家族,49.0,473.0,86%,NO DATA,2021年36・37号,495.0,22.0,2021年,,,,,,
サカモトデイズ,34.0,207.0,55%,NO DATA,2021年36・37号,236.0,29.0,2021年,,,,,,
逃げ若,27.0,333.0,107%,NO DATA,2021年36・37号,355.0,22.0,2021年,,,,,,
ウィッチウォッチ,25.0,304.0,56%,NO DATA,2021年36・37号,317.0,13.0,2021年,,,,,,
アオのハコ,16.0,1909.0,277%,NO DATA,2021年36・37号,1948.0,39.0,2021年,,,,,,
アメノフル,15.0,791.0,81%,NO DATA,2021年36・37号,791.0,0.0,2021年,,,,,,
レッドフード,6.0,914.0,90%,NO DATA,2021年36・37号,914.0,0.0,2021年,,,,,,
#今週のワンピ,1022.0,2110.0,74%,NO DATA,2021年38号,2110.0,0.0,2021年,,,,,,
ヒロアカ本誌,323.0,1301.0,160%,NO DATA,2021年38号,1301.0,0.0,2021年,,,,,,
ドクスト,207.0,791.0,97%,NO DATA,2021年38号,893.0,102.0,2021年,,,,,,
呪術本誌,155.0,1370.0,83%,NO DATA,2021年38号,1370.0,0.0,2021年,,,,,,
夜桜さんちの大作戦,94.0,166.0,198%,NO DATA,2021年38号,182.0,16.0,2021年,,,,,,
アンデラ,75.0,687.0,71%,NO DATA,2021年38号,726.0,39.0,2021年,,,,,,
マッシュル,74.0,785.0,210%,NO DATA,2021年38号,859.0,74.0,2021年,,,,,,
あやトラ,56.0,96.0,53%,NO DATA,2021年38号,106.0,10.0,2021年,,,,,,
マグちゃん,55.0,570.0,101%,NO DATA,2021年38号,662.0,92.0,2021年,,,,,,
ロボコ,53.0,495.0,124%,NO DATA,2021年38号,522.0,27.0,2021年,,,,,,
高校生家族,50.0,723.0,131%,NO DATA,2021年38号,745.0,22.0,2021年,,,,,,
サカモトデイズ,35.0,152.0,40%,NO DATA,2021年38号,181.0,29.0,2021年,,,,,,
逃げ若,28.0,427.0,138%,NO DATA,2021年38号,449.0,22.0,2021年,,,,,,
ウィッチウォッチ,26.0,149.0,27%,NO DATA,2021年38号,162.0,13.0,2021年,,,,,,
アオのハコ,17.0,1800.0,262%,NO DATA,2021年38号,1839.0,39.0,2021年,,,,,,
アメノフル,16.0,707.0,72%,NO DATA,2021年38号,707.0,0.0,2021年,,,,,,
レッドフード,7.0,1465.0,143%,NO DATA,2021年38号,1465.0,0.0,2021年,,,,,,
NERU,6.0,775.0,93%,NO DATA,2021年38号,775.0,0.0,2021年,,,,,,
#今週のワンピ,1023.0,3024.0,105%,NO DATA,2021年39号,3024.0,0.0,2021年,,,,,,
ヒロアカ本誌,324.0,4451.0,547%,NO DATA,2021年39号,4451.0,0.0,2021年,,,,,,
