号数,作品名,クエリ,参照,1時間,全体,終了,トレンド含む
1,JK勇者と隠居魔王,(JK勇者と隠居魔王 #JK勇者と隠居魔王 JK勇者 隠居魔王),0.0,26,49,2025-12-01 03:15:00,False
1,ONE PIECE,#今週のワンピ,4.0,822,1257,2025-12-01 03:45:00,False
1,ONE PIECE,(#今週のワンピ シャンクス),14.0,1331,2042,2025-12-01 03:30:00,True
1,あかね噺,(#あかね噺 あかね噺),2.5,35,45,2025-12-01 01:30:00,False
1,さむわんへるつ,(さむわんへるつ #さむわんへるつ),1.25,191,310,2025-12-01 03:00:00,False
1,しのびごと,(#しのびごと しのびごと),0.75,110,180,2025-12-01 04:15:00,False
1,ひまてん,(#ひまてん ひまてん),1.0,100,210,2025-12-01 03:15:00,False
1,アオのハコ,(#アオのハコ #今週の雛 #今週の千夏 アオのハコ アオハコ),4.5,62,113,2025-12-01 02:00:00,False
1,ウィッチウォッチ,(#ウィッチウォッチ ウィッチウォッチ),1.5,24,43,2025-12-01 02:45:00,False
1,カグラバチ,(#カグラバチ カグラバチ #カグラバチ本誌),5.5,497,653,2025-12-01 02:45:00,False
1,キヨシくん,(#悪祓士のキヨシくん 悪祓士のキヨシくん 悪祓士 キヨシくん エクソシストのキヨシくん),0.75,19,37,2025-12-01 02:45:00,False
1,ゴンロン・エッグ,(ゴンロン・エッグ #ゴンロンエッグ ゴンロンエッグ ゴンロン),0.0,9,32,2025-12-01 02:15:00,False
1,サカモトデイズ,(#サカモトデイズ #サカデイ サカモトデイズ サカデイ サカモト),8.5,110,110,2025-12-01 01:00:00,False
1,ハルカゼマウンド,(ハルカゼマウンド #ハルカゼマウンド ハルカゼ),0.75,25,50,2025-12-01 02:15:00,False
1,モジュロ,(モジュロ #モジュロ 呪術廻戦 #呪術廻戦 呪術 呪術本誌 #呪術本誌),83.25,1353,2049,2025-12-01 02:15:00,False
1,ルリドラゴン,(#ルリドラゴン ルリドラゴン),0.0,115,170,2025-12-01 03:00:00,False
1,僕とロボコ,(#僕とロボコ 僕とロボコ ロボコ),0.0,16,17,2025-12-01 01:15:00,False
1,灯火のオテル,(灯火のオテル #灯火のオテル オテル),1.5,42,97,2025-12-01 03:15:00,False
1,逃げ若,(#逃げ若 #逃げ上手の若君 逃げ若 逃げ上手の若君),3.75,62,98,2025-12-01 02:00:00,False
1,隣の小副川,(隣の小副川 #隣の小副川 小副川),0.0,28,68,2025-12-01 03:15:00,False
1,魔男のイチ,(#魔男のイチ 魔男のイチ 魔男),2.5,170,231,2025-12-01 03:15:00,False
1,鵺の陰陽師,(#鵺の陰陽師 鵺の陰陽師 鵺),9.0,541,798,2025-12-01 02:45:00,False
2,JK勇者と隠居魔王,(JK勇者と隠居魔王 #JK勇者と隠居魔王 JK勇者 隠居魔王),0.0,25,47,2025-12-08 02:00:00,False
2,ONE PIECE,#今週のワンピ,1.75,474,651,2025-12-08 04:00:00,False
2,ONE PIECE,(#今週のワンピ ハラルド),2.25,545,761,2025-12-08 04:15:00,True
2,あかね噺,(#あかね噺 あかね噺),0.75,46,78,2025-12-08 02:30:00,False
2,さむわんへるつ,(さむわんへるつ #さむわんへるつ),2.75,454,664,2025-12-08 03:45:00,False
2,しのびごと,(#しのびごと しのびごと),0.25,92,166,2025-12-08 03:45:00,False
2,ひまてん,(#ひまてん ひまてん),0.25,43,104,2025-12-08 03:30:00,False
2,アオのハコ,(#アオのハコ #今週の雛 #今週の千夏 アオのハコ アオハコ),5.5,60,72,2025-12-08 01:15:00,False
2,ウィッチウォッチ,(#ウィッチウォッチ ウィッチウォッチ),3.25,38,38,2025-12-08 01:00:00,False
2,カグラバチ,(#カグラバチ カグラバチ #カグラバチ本誌),7.25,542,827,2025-12-08 03:15:00,False
2,キヨシくん,(#悪祓士のキヨシくん 悪祓士のキヨシくん 悪祓士 キヨシくん エクソシストのキヨシくん),0.0,24,35,2025-12-08 02:00:00,False
2,ゴンロン・エッグ,(ゴンロン・エッグ #ゴンロンエッグ ゴンロンエッグ ゴンロン),0.0,29,55,2025-12-08 03:15:00,False
2,サカモトデイズ,(#サカモトデイズ #サカデイ サカモトデイズ サカデイ サカモト),14.5,248,312,2025-12-08 01:45:00,False
2,ハルカゼマウンド,(ハルカゼマウンド #ハルカゼマウンド ハルカゼ),0.75,33,63,2025-12-08 02:15:00,False
2,モジュロ,(モジュロ #モジュロ 呪術廻戦 #呪術廻戦 呪術 呪術本誌 #呪術本誌),93.0,854,989,2025-12-08 01:15:00,False
